10000, 0.064000
60000, 0.143000
110000, 0.232000
160000, 0.319000
210000, 0.408000
260000, 0.514000
310000, 0.594000
360000, 0.687000
410000, 0.758000
460000, 0.845000
510000, 1.026000
560000, 1.107000
610000, 1.182000
660000, 1.275000
710000, 1.367000
760000, 1.487000
810000, 1.562000
860000, 1.652000
910000, 1.776000
960000, 1.869000
1010000, 2.092000
1060000, 2.168000
1110000, 2.262000
1160000, 2.377000
1210000, 2.486000
1260000, 2.563000
1310000, 2.685000
1360000, 2.765000
1410000, 2.863000
1460000, 2.939000
1510000, 3.024000
1560000, 3.194000
1610000, 3.288000
1660000, 3.385000
1710000, 3.505000
1760000, 3.608000
1810000, 3.759000
1860000, 3.859000
1910000, 3.974000
1960000, 4.144000
2010000, 4.247000
2060000, 4.644000
2110000, 4.733000
2160000, 4.840000
2210000, 4.983000
2260000, 5.108000
2310000, 5.204000
2360000, 5.331000
2410000, 5.425000
2460000, 5.544000
2510000, 5.631000
2560000, 5.757000
2610000, 5.955000
2660000, 6.076000
2710000, 6.165000
2760000, 6.262000
2810000, 6.347000
2860000, 6.503000
2910000, 6.602000
2960000, 6.703000
3010000, 6.820000
3060000, 6.912000
3110000, 7.214000
3160000, 7.307000
3210000, 7.409000
3260000, 7.538000
3310000, 7.650000
3360000, 7.764000
3410000, 7.946000
3460000, 8.067000
3510000, 8.202000
3560000, 8.318000
3610000, 8.442000
3660000, 8.669000
3710000, 8.764000
3760000, 8.849000
3810000, 8.959000
3860000, 9.066000
3910000, 9.209000
3960000, 9.306000
4010000, 9.393000
4060000, 9.530000
4110000, 9.627000
4160000, 10.835000
4210000, 10.966000
4260000, 11.095000
4310000, 11.201000
4360000, 11.299000
4410000, 11.393000
4460000, 11.531000
4510000, 11.627000
4560000, 11.743000
4610000, 11.840000
4660000, 11.943000
4710000, 12.128000
4760000, 12.226000
4810000, 12.337000
4860000, 12.425000
4910000, 12.529000
4960000, 12.666000
5010000, 12.762000
5060000, 12.863000
5110000, 13.016000
5160000, 13.114000
5210000, 13.400000
5260000, 13.488000
5310000, 13.584000
5360000, 13.689000
5410000, 13.781000
5460000, 13.870000
5510000, 14.058000
5560000, 14.247000
5610000, 14.450000
5660000, 14.601000
5710000, 14.777000
5760000, 15.111000
5810000, 15.285000
5860000, 16.074000
5910000, 18.133000
5960000, 18.795000
6010000, 19.813000
6060000, 22.686000
6110000, 23.386000
6160000, 23.502000
6210000, 23.633000
6260000, 24.159000
6310000, 24.250000
6360000, 24.340000
6410000, 24.441000
6460000, 24.535000
6510000, 24.614000
6560000, 24.734000
6610000, 24.822000
6660000, 24.922000
6710000, 25.001000
6760000, 25.094000
6810000, 25.265000
6860000, 25.353000
6910000, 25.463000
6960000, 25.552000
